"","protein","wv1","wv2","wv3","wv4","wv5","wv6","wv7","wv8","wv9","wv10","wv11","wv12","wv13","wv14","wv15","wv16","wv17","wv18","wv19","wv20","wv21","wv22","wv23","wv24","wv25","wv26","wv27","wv28","wv29","wv30","wv31","wv32","wv33","wv34","wv35","wv36","wv37","wv38","wv39","wv40","wv41","wv42","wv43","wv44","wv45","wv46","wv47","wv48","wv49","wv50","wv51","wv52","wv53","wv54","wv55","wv56","wv57","wv58","wv59","wv60","wv61","wv62","wv63","wv64","wv65","wv66","wv67","wv68"
"20",11.7,0.0403,0.057,0.0753,0.0879,0.0874,0.0764,0.0691,0.0655,0.0615,0.061,0.0686,0.0844,0.0995,0.1236,0.1814,0.2418,0.2666,0.2682,0.2578,0.2433,0.2311,0.2238,0.2181,0.2073,0.1914,0.1751,0.1628,0.1591,0.1755,0.1845,0.1903,0.1983,0.2013,0.1968,0.186,0.1772,0.1699,0.1863,0.2623,0.392,0.4613,0.441,0.4006,0.3625,0.3401,0.3514,0.3814,0.4029,0.4154,0.4153,0.4038,0.3907,0.3777,0.3684,0.3563,0.3498,0.379,0.4296,0.4492,0.4592,0.4575,0.4499,0.4489,0.4565,0.4871,0.5301,0.5742,0.6101
"21",12.2,0.047,0.0648,0.083,0.0954,0.0947,0.0837,0.0768,0.0733,0.0695,0.0688,0.0769,0.093,0.1079,0.1331,0.1917,0.2516,0.2767,0.2781,0.2678,0.2535,0.2402,0.2326,0.2263,0.2155,0.1993,0.1833,0.1711,0.1677,0.1838,0.1928,0.1988,0.2063,0.2095,0.2048,0.1947,0.1865,0.1793,0.1967,0.2753,0.4089,0.4797,0.4591,0.419,0.3792,0.3554,0.3646,0.3926,0.4131,0.4244,0.4242,0.413,0.3999,0.3874,0.3778,0.3657,0.3589,0.3883,0.4392,0.4574,0.4684,0.4661,0.4595,0.4587,0.4665,0.4993,0.5408,0.5849,0.6198
"22",12.4,0.0389,0.0557,0.0742,0.0874,0.0868,0.0754,0.0682,0.0644,0.0604,0.0594,0.0672,0.0834,0.0987,0.1234,0.1819,0.2441,0.2702,0.2716,0.2611,0.2465,0.2344,0.227,0.2211,0.2101,0.1931,0.1768,0.164,0.1606,0.178,0.1873,0.194,0.2011,0.2036,0.1989,0.188,0.1789,0.171,0.1869,0.2636,0.3975,0.4688,0.4472,0.407,0.3674,0.3455,0.3581,0.3903,0.4133,0.4259,0.4259,0.4144,0.4009,0.3878,0.3772,0.364,0.3574,0.388,0.4418,0.461,0.4724,0.4691,0.4609,0.4593,0.4664,0.4999,0.5432,0.5905,0.6257
"23",10.9,0.0375,0.055,0.0731,0.0855,0.0851,0.0741,0.0671,0.0634,0.0598,0.0597,0.0677,0.0838,0.0987,0.1245,0.1843,0.2436,0.268,0.269,0.2578,0.2429,0.2301,0.2225,0.2162,0.2056,0.1894,0.1734,0.1611,0.1572,0.1726,0.1813,0.1875,0.1953,0.1988,0.1946,0.1842,0.1756,0.1691,0.1874,0.2687,0.4026,0.4716,0.4504,0.4092,0.3691,0.3454,0.353,0.3796,0.4,0.4114,0.4108,0.3997,0.386,0.3728,0.3637,0.3515,0.3452,0.3737,0.4235,0.4425,0.4538,0.4517,0.4453,0.4453,0.4541,0.4856,0.5283,0.5727,0.6078
"24",13,0.0389,0.0558,0.0743,0.0877,0.0873,0.0759,0.0685,0.0647,0.0602,0.0592,0.0665,0.0829,0.0986,0.1221,0.1797,0.2424,0.2681,0.2696,0.2595,0.2455,0.2336,0.2264,0.2207,0.2097,0.1927,0.1765,0.1638,0.1606,0.1784,0.1881,0.1948,0.2017,0.204,0.1991,0.1883,0.1789,0.1707,0.1851,0.2584,0.3889,0.4578,0.4367,0.3979,0.3604,0.3401,0.3554,0.3901,0.4139,0.427,0.4269,0.4152,0.4023,0.3893,0.3796,0.3663,0.3596,0.3908,0.4441,0.464,0.4742,0.4712,0.4629,0.4603,0.467,0.4991,0.5432,0.5888,0.6244
"25",8.8,0.0427,0.0585,0.0764,0.0894,0.0899,0.0783,0.0711,0.0672,0.0629,0.0622,0.0697,0.086,0.1012,0.1253,0.1839,0.2469,0.2726,0.2736,0.263,0.2481,0.2362,0.2298,0.2242,0.2138,0.1968,0.1804,0.1677,0.1631,0.1792,0.1889,0.1948,0.203,0.2064,0.2018,0.1906,0.1815,0.1734,0.1888,0.2636,0.3938,0.4618,0.4391,0.3986,0.3602,0.3402,0.3542,0.3864,0.4119,0.426,0.4262,0.4139,0.3981,0.3827,0.3714,0.3589,0.3533,0.3834,0.4367,0.4561,0.4685,0.4652,0.457,0.4561,0.4623,0.4956,0.5391,0.5852,0.6203
"26",9.9,0.0387,0.0535,0.0698,0.081,0.0811,0.0711,0.0646,0.0614,0.0573,0.0566,0.0634,0.0773,0.0908,0.1124,0.1643,0.2187,0.2404,0.241,0.2312,0.2183,0.2077,0.201,0.196,0.1861,0.1715,0.1566,0.1455,0.1417,0.1562,0.1644,0.1695,0.1768,0.18,0.1761,0.1664,0.1588,0.1522,0.1668,0.2349,0.3519,0.413,0.3934,0.3566,0.3225,0.3034,0.3138,0.3416,0.3633,0.3758,0.3766,0.3665,0.3531,0.3397,0.3312,0.3207,0.3158,0.3419,0.3888,0.4065,0.4161,0.4132,0.4062,0.4061,0.4135,0.4424,0.4828,0.523,0.559
"27",9.7,0.0409,0.0556,0.0725,0.0842,0.0845,0.0742,0.0676,0.0642,0.0603,0.0601,0.0672,0.0816,0.0959,0.1194,0.1749,0.2323,0.2554,0.256,0.2448,0.2306,0.2195,0.212,0.2063,0.196,0.1809,0.1653,0.1534,0.1492,0.1635,0.1717,0.1774,0.1852,0.1889,0.1849,0.1746,0.1667,0.1603,0.1764,0.2506,0.3776,0.4443,0.4236,0.3834,0.3453,0.3236,0.3328,0.36,0.3818,0.3937,0.3939,0.3817,0.3678,0.3544,0.3451,0.3337,0.3275,0.3553,0.4041,0.4229,0.4331,0.4316,0.4241,0.4232,0.4319,0.4637,0.5065,0.5501,0.5858
"28",8.1,0.0343,0.05,0.0665,0.0776,0.0776,0.0676,0.0615,0.0583,0.0546,0.0544,0.0616,0.0758,0.0892,0.1131,0.1686,0.2248,0.2469,0.2473,0.2359,0.2212,0.2099,0.2028,0.1971,0.1867,0.1716,0.1563,0.1445,0.14,0.1535,0.1609,0.1663,0.1743,0.1785,0.1749,0.165,0.1573,0.1512,0.1684,0.2437,0.3703,0.4367,0.4151,0.374,0.3354,0.3132,0.3206,0.3458,0.3674,0.3796,0.3802,0.3684,0.3531,0.3381,0.3284,0.3174,0.3119,0.3389,0.3872,0.4052,0.4163,0.4141,0.4067,0.4072,0.4162,0.4482,0.4911,0.5345,0.5727
"29",8.7,0.0373,0.0551,0.0736,0.0863,0.0863,0.0751,0.0681,0.0645,0.0605,0.0601,0.0682,0.0845,0.1,0.1258,0.1865,0.2477,0.2726,0.2735,0.2618,0.2468,0.2345,0.2276,0.2217,0.2108,0.1942,0.1779,0.1653,0.1607,0.1758,0.1851,0.1904,0.1991,0.2028,0.1984,0.1878,0.179,0.1722,0.1894,0.2692,0.4022,0.4708,0.4486,0.4067,0.3669,0.3444,0.354,0.3822,0.4049,0.4184,0.4184,0.4063,0.3909,0.3752,0.3648,0.3522,0.3464,0.3757,0.4272,0.4465,0.4581,0.4559,0.4482,0.448,0.4567,0.4894,0.5332,0.5778,0.6132
